price,log_price,price_per_person,has_wireless_internet,has_heating,has_kitchen,has_essentials,has_smoke_detector,has_air_conditioning,has_tv,has_internet,has_washer,has_dryer
99.0,4.605170185988092,33.0,1,1,1,1,1,1,1,1,1,1
93.0,4.543294782270004,31.0,1,1,1,1,1,1,1,1,0,0
500.0,6.2166061010848646,50.0,1,1,1,1,1,1,1,1,1,1
295.0,5.69035945432406,73.75,1,1,1,0,0,0,1,1,1,1
450.0,6.111467339502679,40.90909090909091,1,1,1,1,1,0,1,1,1,1
150.0,5.017279836814924,37.5,1,1,1,1,1,1,1,1,1,1
95.0,4.564348191467836,23.75,1,1,1,1,1,0,0,0,1,1
150.0,5.017279836814924,37.5,1,1,1,1,1,1,1,1,1,1
399.0,5.991464547107982,49.875,1,1,1,1,1,1,1,1,0,0
71.0,4.276666119016055,35.5,1,1,1,1,1,1,0,1,1,1
500.0,6.2166061010848646,83.33333333333333,1,1,1,1,1,1,1,1,0,0
70.0,4.2626798770413155,35.0,1,0,0,1,1,1,0,0,1,1
125.0,4.836281906951478,62.5,1,1,1,1,1,1,1,1,0,0
85.0,4.454347296253507,42.5,1,1,0,0,1,1,1,1,1,1
61.0,4.127134385045092,30.5,1,1,0,1,1,1,0,0,0,0
250.0,5.5254529391317835,41.666666666666664,1,1,1,1,1,1,1,1,1,1
56.0,4.04305126783455,28.0,1,1,1,1,0,0,0,1,1,1
200.0,5.303304908059076,66.66666666666667,1,1,1,1,1,0,1,1,0,0
220.0,5.3981627015177525,36.666666666666664,1,1,1,1,1,1,0,1,0,0
80.0,4.394449154672439,80.0,1,1,0,1,1,0,1,0,0,0
60.0,4.110873864173311,30.0,1,0,1,1,1,0,0,0,1,1
125.0,4.836281906951478,62.5,1,1,1,1,1,1,0,1,1,1
500.0,6.2166061010848646,100.0,1,1,1,0,1,1,1,1,1,1
149.0,5.0106352940962555,74.5,1,1,0,1,1,1,1,0,0,0
65.0,4.189654742026425,32.5,1,1,1,1,1,0,0,0,1,1
99.0,4.605170185988092,49.5,1,1,1,1,1,1,1,1,0,0
67.0,4.219507705176107,22.333333333333332,1,1,1,1,1,0,0,1,1,1
180.0,5.198497031265826,36.0,1,1,1,1,1,1,1,1,1,1
170.0,5.14166355650266,56.666666666666664,1,1,1,1,1,0,1,1,1,1
115.0,4.7535901911063645,28.75,1,1,1,1,1,1,1,1,1,1
235.0,5.4638318050256105,58.75,1,1,1,1,0,1,1,1,1,1
89.0,4.499809670330265,44.5,1,1,0,1,1,1,0,1,1,1
110.0,4.709530201312334,55.0,1,1,1,1,1,1,1,1,1,1
